Id,Centred Broto-Moreau autocorrelation of lag 7 weighted by mass,CATS2D Lipophilic-Lipophilic at lag 03,CATS2D Lipophilic-Lipophilic at lag 06,Frequency of C - C at topological distance 3,Information Content index (neighborhood symmetry of 2-order),mean information content on the distance degree equality,Balaban-like index from distance/detour matrix,Balaban-like index from Barysz matrix weighted by mass,path/walk 5 - Randic shape index,ring perimeter,AgonistClass
e1,36.166,33,16,41,4.173,4.582,17.5161,1.3097,0.103,22,agonist
e2,32.69,29,8,33,4.539,3.939,20.2704,1.7793,0.113,17,agonist
e3,81.903,23,10,54,4.785,5.211,20.0299,1.359,0.111,28,agonist
e4,21.62,37,14,39,4.088,4.202,21.0544,1.6635,0.107,17,agonist
e5,30.187,36,13,44,4.324,4.335,21.0811,1.6573,0.113,17,agonist
e6,22.015,35,12,39,4.346,4.005,20.8972,1.6814,0.107,17,agonist
e7,40.28,31,13,47,4.674,4.236,22.4028,1.8041,0.118,17,agonist
e8,24.858,38,15,44,4.428,4.263,21.2385,1.7311,0.111,17,agonist
e9,41.718,23,12,46,4.963,4.64,21.9948,1.775,0.109,17,agonist
e10,38.573,28,14,47,4.677,4.533,23.1407,1.8934,0.116,17,agonist
e11,43.863,39,17,51,4.519,4.164,21.7064,1.8396,0.123,17,agonist
e12,48.059,25,14,49,4.961,4.632,22.542,1.8131,0.112,17,agonist
e13,45.554,22,11,47,4.823,4.582,23.4788,1.9108,0.121,17,agonist
e14,27.639,33,10,38,3.604,4.202,20.6835,1.4995,0.105,18,agonist
e15,36.95,34,19,47,4.513,4.404,22.3278,1.773,0.121,17,agonist
e16,13.747,6,1,11,4.436,3.684,12.9664,2.3864,0.095,9,agonist
e17,41.822,7,4,19,4.905,4.607,14.1634,2.879,0.083,12,agonist
e18,55.852,29,20,49,4.642,4.771,22.4044,1.7382,0.107,17,agonist
e19,56.773,28,14,50,4.942,5.129,21.3895,1.8105,0.112,17,agonist
e20,66.963,31,21,53,5.149,4.901,20.6903,1.7079,0.117,22,agonist
e21,75.154,29,22,53,4.791,5.114,22.7357,1.8879,0.126,17,agonist
e22,35.679,40,14,45,4.512,4.316,20.8246,1.6707,0.111,17,agonist
e23,56.855,29,17,50,4.614,4.813,21.4644,1.7655,0.121,17,agonist
e24,32.511,34,10,44,4.376,4.564,21.2432,1.6984,0.108,17,agonist
e25,26.394,32,18,41,4.473,4.111,17.4769,1.4411,0.103,23,agonist
e26,66.57,22,14,53,4.957,4.958,23.3446,1.9362,0.129,17,agonist
e27,36.25,36,15,46,4.492,4.533,20.4084,1.5927,0.108,17,agonist
e28,48.735,35,17,48,4.601,4.164,21.7064,1.8558,0.123,17,agonist
e29,36.635,28,10,44,4.589,4.393,21.9068,1.7586,0.114,17,agonist
e30,39.6,26,15,47,4.793,4.755,22.7551,1.8287,0.121,17,agonist
e31,110.352,33,21,68,4.513,5.345,15.624,0.9471,0.105,40,agonist
e32,32.518,38,12,44,3.953,4.137,21.5174,1.6693,0.108,17,agonist
e33,17.448,29,8,33,4.352,3.722,20.8868,1.7281,0.11,17,agonist
e34,32.671,30,16,38,4.383,4.547,19.6307,1.5792,0.111,17,agonist
e35,46.216,39,17,51,4.409,4.164,21.7064,1.7816,0.123,17,agonist
e36,34.391,28,10,44,4.736,4.393,21.9068,1.7711,0.114,17,agonist
e37,40.649,28,12,46,4.916,4.651,21.3275,1.7121,0.111,17,agonist
e38,22.01,29,10,36,4.523,4.23,19.7772,1.6899,0.104,17,agonist
e39,25.542,40,14,44,4.235,4.35,21.4186,1.7125,0.107,17,agonist
e40,83.479,25,23,49,4.649,5.107,15.6897,1.7841,0.092,17,agonist
e41,56.432,28,17,49,4.636,4.761,21.6219,1.7919,0.121,17,agonist
e42,66.508,25,20,51,4.824,4.75,23.0013,1.9286,0.127,17,agonist
e43,27.821,40,14,46,4.359,4.484,20.1403,1.5693,0.117,22,agonist
e44,40.586,8,8,33,5.175,4.651,14.5604,1.9044,0.117,16,agonist
e45,21.447,37,13,41,4.485,3.88,21.7645,1.7837,0.116,17,agonist
e46,33.03,28,10,44,4.588,4.393,21.9068,1.7688,0.114,17,agonist
e47,41.235,36,18,46,4.2,4.615,19.9067,1.5399,0.094,17,agonist
e48,21.305,14,12,26,4.032,4.089,14.5513,2.0962,0.12,16,agonist
e50,23.817,38,12,42,4.194,3.914,21.4828,1.723,0.107,17,agonist
e51,105.245,38,21,68,4.467,5.245,15.3448,0.9351,0.103,40,agonist
e52,37.739,24,10,44,4.773,4.236,22.4028,1.813,0.118,17,agonist
e53,46.705,31,15,49,4.857,4.348,21.8611,1.7438,0.115,17,agonist
e54,8.731,3,7,11,3.374,3.735,10.9253,2.3106,0.089,12,agonist
e55,28.799,33,10,38,4.119,4.096,21.6521,1.7493,0.106,17,agonist
e56,46.358,40,21,48,3.919,4.812,19.0744,1.3611,0.101,17,agonist
e57,33.63,0,0,27,4.564,4.28,15.3138,2.0847,0.114,19,agonist
e58,47.248,25,12,48,4.67,4.582,22.545,1.8754,0.122,17,agonist
e59,22.349,0,3,5,3.889,3.455,16,7.5653,0.076,0,agonist
e60,28.335,11,2,29,5.123,4.418,18.4101,1.8135,0.113,15,agonist
e61,23.542,30,8,38,3.933,4.096,21.6521,1.6923,0.106,17,agonist
e62,28.455,40,14,46,4.48,4.324,22.7937,1.5456,0.105,20,agonist
e63,47.449,31,13,47,4.788,4.423,22.9912,1.8787,0.115,17,agonist
e64,2.063,0,0,7,4.143,2.418,9.8987,3.0036,0.1,5,agonist
e65,6.492,2,0,4,3.567,2.611,10.4166,4.4577,0.071,6,agonist
e66,53.923,22,12,47,4.858,4.707,23.7134,1.9413,0.12,17,agonist
e67,35.581,47,18,53,4.359,4.533,20.1963,1.3603,0.132,24,agonist
e68,65.768,28,16,47,4.941,4.75,21.5876,1.8498,0.122,17,agonist
e69,24.632,37,14,42,4.472,4.35,20.9667,1.6956,0.111,17,agonist
e70,33.595,2,0,30,4.864,4.625,14.3885,1.5111,0.111,23,agonist
e71,30.219,38,14,42,4.461,4.056,21.447,1.7283,0.113,17,agonist
e72,40.002,35,16,46,4.402,4.45,20.1705,1.6319,0.112,17,agonist
e73,93.884,28,18,62,4.837,4.596,19.1806,1.3583,0.126,28,agonist
e74,25.852,29,10,36,4.65,4.35,20.3887,1.7883,0.117,17,agonist
e75,33.809,4,1,22,4.617,4.182,14.3349,2.1357,0.095,12,agonist
e76,29.897,42,18,45,4.345,4.35,21.6842,1.7522,0.121,17,agonist
e77,28.207,27,6,40,4.058,4.252,20.945,1.5423,0.112,18,agonist
e78,69.417,22,19,51,4.917,4.56,23.5199,1.9637,0.132,17,agonist
e79,15.715,10,5,22,3.953,3.222,11.8462,1.8176,0.088,14,agonist
e80,22.475,37,14,42,4.57,4.35,20.9667,1.8604,0.111,17,agonist
e81,54.588,28,10,44,4.792,4.457,21.1973,1.754,0.107,17,agonist
e82,12.743,10,6,20,4.406,3.88,18.2286,2.3242,0.105,14,agonist
e83,70.063,28,19,56,4.787,4.978,22.0255,1.4261,0.114,26,agonist
e84,23.884,34,10,38,4.079,4.297,21.3509,1.6919,0.11,17,agonist
e85,29.538,10,8,32,3.921,3.866,11.544,1.9195,0.093,18,agonist
e86,23.992,37,14,39,3.912,4.202,21.0544,1.644,0.107,17,agonist
e87,55.562,27,14,54,5.275,5.103,20.0694,1.5094,0.105,23,agonist
e88,31.552,4,14,14,4.368,4.482,15.2414,2.7835,0.082,12,agonist
e89,45.056,40,20,49,4.146,4.682,20.2612,1.5133,0.104,17,agonist
