Id,Centred Broto-Moreau autocorrelation of lag 7 weighted by mass,CATS2D Lipophilic-Lipophilic at lag 03,CATS2D Lipophilic-Lipophilic at lag 06,Frequency of C - C at topological distance 3,Information Content index (neighborhood symmetry of 2-order),mean information content on the distance degree equality,Balaban-like index from distance/detour matrix,Balaban-like index from Barysz matrix weighted by mass,path/walk 5 - Randic shape index,ring perimeter,AgonistClass
24,50.255,39,19,52,4.565,4.582,20.8301,1.6519,0.121,18,agonist
58,15.965,29,8,33,4.243,3.722,20.8868,1.7414,0.11,17,agonist
84,45.412,5,0,33,4.756,4.725,11.316,1.385,0.093,28,inactive
100,17.578,3,0,5,3.788,3.337,12.1523,4.235,0.064,6,inactive
114,37.715,12,15,33,4.514,4.503,15.2285,2.0317,0.099,15,agonist
148,47.157,41,19,54,4.725,4.582,22.2199,1.8876,0.128,17,agonist
172,1.287,2,0,5,3.128,2.725,8.5992,3.1238,0.078,6,inactive
194,8.565,2,5,8,3.852,3.039,10.2539,2.7061,0.078,6,inactive
205,2.567,4,0,5,3.735,2.855,10.6986,3.7932,0.087,6,inactive
256,21.048,10,8,19,3.316,2.945,10.94,2.3122,0.092,12,inactive
355,30.722,28,10,44,4.758,4.393,21.9068,1.7815,0.114,17,agonist
453,0.763,5,0,7,2.727,2.197,8.4791,3.0154,0.066,6,inactive
521,0.751,2,0,5,3.236,2.413,10.0907,3.9081,0.079,6,inactive
538,26.977,38,15,44,4.218,4.263,21.2385,1.6759,0.111,17,agonist
553,34.101,29,13,44,4.554,4.484,21.7261,1.7179,0.119,17,agonist
576,50.23,8,6,17,3.787,4.307,27,5.3792,0.078,0,agonist
585,22.535,35,12,39,4.282,4.005,20.8972,1.6624,0.107,17,agonist
692,0,0,0,0,2.406,0.811,3,3.2217,0,0,inactive
698,21.316,34,10,38,3.959,4.297,21.3509,1.7115,0.11,17,agonist
710,4.839,0,0,3,3.208,2.503,5.7805,1.9162,0.044,3,inactive
820,11.738,6,12,9,2.178,2.401,10.6571,2.6129,0.093,18,inactive
958,16.014,0,5,6,3.393,2.918,11,4.8246,0.075,0,inactive
986,20.629,0,0,4,3.65,4.143,13.6958,3.5321,0.11,5,agonist
988,0,0,0,0,3.027,0.918,5,3.7407,0,0,inactive
1007,3.491,0,0,5,2.914,3.013,28,7.9135,0.047,0,inactive
1033,54.473,5,2,21,4.612,4.133,15.0414,3.2682,0.125,11,inactive
1043,13.602,0,0,2,3.41,3.022,9.2586,3.714,0.073,5,inactive
1058,16.566,5,6,15,3.982,3.971,11.9933,2.3749,0.082,12,inactive
1080,10.011,0,0,4,3.754,3.239,12,5.4623,0.032,0,inactive
1082,25.597,38,12,42,4.041,3.914,21.4828,1.7075,0.107,17,agonist
1130,6.883,2,6,10,3.244,3.24,10.6763,2.4793,0.086,12,inactive
1155,25.93,37,14,42,4.191,4.35,20.9667,1.6811,0.111,17,agonist
1156,35.659,34,16,41,4.187,4.564,20.735,1.6454,0.113,17,agonist
1157,17.869,1,6,7,3.391,2.948,17,3.7214,0.066,0,inactive
