Id,Centred Broto-Moreau autocorrelation of lag 7 weighted by mass,eta average core count,Geary autocorrelation of lag 1 weighted by polarizability,molecular multiple path count of order 9,path/walk 3 - Randic shape index,largest eigenvalue n. 1 of Burden matrix weighted by mass,largest eigenvalue n. 1 of Burden matrix weighted by polarizability,largest eigenvalue n. 2 of Burden matrix weighted by mass,Wiener-like index from detour matrix (detour index),valence connectivity index of order 4,AntagonistClass
e1823,23.361,0.491,1.071,6.807,0.318,4.103,4.007,3.827,2129,3.038,inactive
e1824,36.786,0.474,1.096,6.139,0.339,3.984,3.969,3.787,2442,3.501,inactive
e1825,28.164,0.491,0.952,5.097,0.31,6.88,3.945,3.868,1654,2.599,inactive
e1827,32.491,0.488,1.13,5.749,0.346,3.988,4.001,3.789,2009,5.112,inactive
e1828,35.338,0.5,1.333,4.691,0.256,3.797,3.833,3.714,3803,3.337,inactive
e1830,35.597,0.485,1.34,5.991,0.377,4.024,4.039,3.784,5558,7.429,inactive
e1832,35.929,0.488,1.685,6.924,0.299,4.427,3.99,4.413,2872,3.685,inactive
e1833,11.711,0.431,1.208,6.783,0.376,4.089,3.902,3.727,1641,2.207,inactive
e1834,1.7,0.526,0.602,0,0.332,4.09,3.877,3.597,210,1.118,inactive
e1835,276.245,0.616,0.454,6.551,0.341,10.7,4.117,10.695,1924,4.224,inactive
e1836,19.765,0.498,0.912,6.972,0.33,4.737,4.075,4.217,1954,3.726,inactive
e1837,38.145,0.455,1.349,5.119,0.342,3.895,3.874,3.831,3128,3.222,inactive
e1838,43.267,0.47,1.345,6.387,0.357,4.017,4.004,3.95,7114,5.05,inactive
e1839,48.936,0.489,0.966,5.861,0.319,4.256,3.958,3.911,4512,5.889,inactive
e1840,15.408,0.493,0.8,7.786,0.329,4.071,4.02,3.966,3306,2.872,antagonist
e1841,37.066,0.461,1.012,5.851,0.352,4.147,3.916,3.892,4973,5.544,inactive
e1842,8.423,0.461,1.941,0,0.234,3.732,3.65,3.493,184,0.865,inactive
e1844,4.085,0.476,0.987,0,0.322,3.871,3.865,3.458,252,0.865,inactive
e1845,5.765,0.472,1.075,5.019,0.331,3.899,3.878,3.61,468,1.517,inactive
e1847,16.056,0.46,1.431,3.27,0.35,3.912,3.864,3.356,570,1.446,inactive
e1848,18.571,0.469,1.482,3.596,0.332,3.917,3.877,3.48,663,1.725,inactive
e3269,3.65,0.485,1.387,0,0.3,4.722,4.037,3.724,248,1.19,inactive
e1850,45.14,0.488,1.172,6.006,0.354,3.979,3.989,3.729,1524,3.391,inactive
e1852,28.825,0.469,1.242,7.598,0.335,4.129,4.026,3.851,4225,3.5,antagonist
e1856,35.809,0.478,1.177,5.487,0.33,3.926,3.89,3.837,2703,3.664,inactive
e1858,32.452,0.485,1.164,5.547,0.331,3.917,3.891,3.828,2202,3.495,inactive
e1860,12.889,0.46,1.3,4.588,0.323,3.943,3.882,3.478,784,1.674,inactive
e1861,35.534,0.479,1.163,5.48,0.337,3.917,3.89,3.84,2659,3.703,inactive
e1863,33.325,0.499,1.033,5.421,0.334,4.219,3.93,3.894,1913,4.022,inactive
e1864,36.336,0.499,1.051,5.286,0.333,4.218,3.932,3.898,2157,4.14,inactive
e1865,15.765,0.471,1.346,3.524,0.327,3.92,3.895,3.45,568,1.62,inactive
e1866,12.48,0.469,1.333,3.524,0.314,3.896,3.869,3.431,488,1.388,inactive
e1867,8.716,0.457,1.155,4.386,0.326,3.924,3.881,3.498,658,1.467,inactive
e1870,5.544,0.491,1.193,2.784,0.294,3.85,3.868,3.467,264,1.07,inactive
e1871,6.922,0.492,1.221,3.27,0.283,3.851,3.869,3.507,329,1.388,inactive
e1875,12.228,0.454,1.242,4.227,0.297,3.915,3.895,3.548,674,1.649,inactive
e1876,17.736,0.456,1.391,2.197,0.35,3.879,3.791,3.519,636,1.84,inactive
e1877,16.198,0.459,1.317,2.708,0.369,3.899,3.823,3.476,710,2.305,inactive
e1878,13.16,0.492,0.857,6.889,0.362,4.053,3.93,3.884,1636,2.381,inactive
e1879,0.244,0.429,1.505,0,0.209,3.575,3.513,3.138,52,0.23,inactive
e3659,0,0.513,0.708,0,0.322,4.005,3.868,3.409,162,0.866,inactive
e1882,22.512,0.529,0.912,3.056,0.346,6.88,3.891,3.828,481,1.759,inactive
e1884,53.41,0.463,1.432,5.46,0.356,3.931,3.882,3.782,3583,4.193,inactive
e1885,51.588,0.493,1.124,5.48,0.34,4.218,3.936,3.922,2665,4.733,antagonist
e1886,19.082,0.482,1.32,6.254,0.341,4.089,4.045,3.676,1498,2.854,inactive
e1887,5.659,0.492,1.042,4.176,0.335,3.908,3.92,3.605,474,2.241,inactive
e1888,21.031,0.465,1.276,5.301,0.359,3.938,3.891,3.825,1947,3.767,inactive
e658,17.243,0.487,0.98,6.103,0.338,4.265,3.95,3.831,1051,2.936,inactive
e1890,24.544,0.473,1.167,7.124,0.398,4.097,4.069,3.65,3582,5.86,inactive
e1891,21.942,0.471,1.068,7.05,0.398,4.095,4.068,3.64,3238,5.71,inactive
e1892,11.339,0.501,0.908,5.241,0.341,4.016,3.932,3.821,634,2.911,inactive
e1893,10.852,0.471,1.305,4.6,0.315,3.925,3.883,3.546,772,1.842,inactive
e1894,9.703,0.469,1.288,4.386,0.326,3.924,3.883,3.517,658,1.524,inactive
e1895,11.531,0.476,1.132,5.759,0.309,4.085,4.042,3.517,790,1.717,inactive
e1896,9.763,0.486,1.158,5.462,0.309,4.079,4.043,3.51,677,1.683,inactive
e1897,18.971,0.489,1.241,5.746,0.32,4.08,4.044,3.632,1187,2.585,inactive
e1899,22.901,0.467,1.3,5.798,0.353,4.012,3.878,3.846,2960,3.038,inactive
e1901,22.822,0.481,1.636,6.403,0.287,4.425,4.058,4.062,1386,2.373,inactive
e1902,36.377,0.486,1.192,5.476,0.336,3.919,3.898,3.837,2648,3.986,inactive
e1904,155.939,0.464,1.01,6.402,0.316,4.174,3.911,3.928,51217,10.066,inactive
e1906,43.485,0.475,1.073,5.205,0.321,3.962,3.876,3.865,3108,3.845,inactive
e1907,78.639,0.468,1.09,6.599,0.317,4.088,4.049,3.898,12702,5.474,inactive
e1909,28.364,0.472,1.092,5.242,0.369,4.028,4.018,3.926,2278,6.803,inactive
e1910,51.33,0.469,1.042,6.134,0.334,4.222,3.906,4.102,7449,5.326,inactive
