Id,Frequency of C - C at topological distance 3,Moriguchi octanol-water partition coeff. (logP),squared Moriguchi octanol-water partition coeff. (logP^2),molecular multiple path count of order 9,path/walk 3 - Randic shape index,largest eigenvalue n. 2 of Burden matrix weighted by mass,normalized leading eigenvalue from augmented edge adjacency mat. weighted by dipole moment,Balaban V index,all-path Wiener index,first Zagreb index by Madan vertex degrees,BindingClass
e1,41,5.26,27.669,6.517,0.356,3.813,0.115,0.167,52128,172.636,binder
e2,33,3.549,12.596,6.483,0.343,4.013,0.138,0.232,24085,182.36,binder
e3,54,-0.605,0.366,6.463,0.405,3.856,0.09,0.162,180066,275.997,binder
e4,39,4.804,23.079,5.714,0.399,3.773,0.176,0.264,16861,126.768,binder
e5,44,3.214,10.328,5.956,0.389,3.81,0.146,0.246,23454,145.647,binder
e6,39,3.827,14.642,5.989,0.394,3.792,0.169,0.254,19145,134.872,binder
e7,47,1.747,3.051,6.384,0.405,3.838,0.143,0.258,29927,170.519,binder
e8,44,3.959,15.675,6.308,0.385,3.807,0.15,0.254,21009,140.207,binder
e9,46,2.022,4.087,6.402,0.392,3.837,0.133,0.238,38339,195.942,binder
e10,47,2.642,6.981,6.397,0.419,3.837,0.146,0.272,28878,178.074,binder
e11,51,3.686,13.59,6.575,0.386,3.838,0.14,0.247,32750,175.404,binder
e12,49,2.231,4.978,6.454,0.397,3.849,0.129,0.242,41025,201.942,binder
e13,47,1.962,3.848,6.475,0.424,3.853,0.138,0.267,34285,193.344,binder
e14,38,4.829,23.319,5.545,0.388,3.942,0.194,0.243,26164,161.727,binder
e15,47,3.433,11.782,6.064,0.387,3.814,0.141,0.263,24959,154.311,binder
e16,11,2.199,4.837,6.414,0.313,3.57,0.192,0.293,3187,99.752,binder
e17,19,1.855,3.44,6.123,0.314,4.044,0.149,0.274,6592,229.305,binder
e18,49,3.808,14.503,6.495,0.387,3.852,0.118,0.221,52329,233.432,binder
e19,50,2.368,5.608,6.516,0.37,3.844,0.115,0.224,52900,217.359,binder
