Id,Frequency of C - C at topological distance 3,Moriguchi octanol-water partition coeff. (logP),squared Moriguchi octanol-water partition coeff. (logP^2),molecular multiple path count of order 9,path/walk 3 - Randic shape index,largest eigenvalue n. 2 of Burden matrix weighted by mass,normalized leading eigenvalue from augmented edge adjacency mat. weighted by dipole moment,Balaban V index,all-path Wiener index,first Zagreb index by Madan vertex degrees,BindingClass
1,22,3.419,11.688,6.188,0.339,3.794,0.149,0.281,3363,104.524,binder
2,46,6.296,39.642,6.016,0.352,3.797,0.12,0.217,17492,154.104,binder
4,18,5.934,35.209,5.901,0.327,3.951,0.187,0.333,2135,159.696,binder
5,18,5.149,26.513,5.901,0.353,3.989,0.209,0.363,2436,220.93,binder
6,49,6.073,36.885,6.622,0.343,4.038,0.106,0.134,81342,277.068,binder
7,14,2.786,7.762,5.901,0.331,3.753,0.2,0.337,1690,78.207,binder
8,17,3.059,9.357,5.522,0.312,3.897,0.14,0.266,6814,169.466,binder
10,29,4.76,22.653,8.486,0.37,3.674,0.179,0.316,9577,94,binder
11,8,4.336,18.797,3.219,0.317,3.615,0.271,0.349,1116,139.81,binder
15,6,0.906,0.822,6.076,0.359,3.935,0.195,0.309,3400,195.853,binder
16,14,3.93,15.448,5.901,0.316,3.806,0.2,0.33,1660,91.623,binder
17,22,3.306,10.928,5.901,0.339,3.756,0.214,0.338,1950,92.207,binder
18,53,3.63,13.176,8.222,0.337,4.716,0.094,0.142,91937,397.337,binder
22,20,3.932,15.463,6.063,0.348,3.951,0.201,0.347,2690,145.674,binder
23,36,5.67,32.147,7.308,0.333,3.804,0.108,0.21,9079,163.144,binder
24,52,3.894,15.164,6.805,0.39,3.906,0.132,0.219,55997,204.923,binder
26,38,3.696,13.659,5.817,0.393,3.778,0.171,0.268,16523,130.207,binder
27,26,3.956,15.651,6.46,0.343,3.79,0.155,0.319,2638,102.207,binder
28,18,1.942,3.771,6.655,0.356,3.734,0.166,0.325,2687,97.811,binder
29,39,5.625,31.636,8.742,0.376,3.856,0.15,0.273,15400,114,binder
30,18,3.05,9.3,6.477,0.348,3.739,0.18,0.338,1969,84.054,binder
31,39,4.004,16.033,6.523,0.394,3.822,0.169,0.254,19145,134.872,binder
32,7,2.492,6.212,4.007,0.352,4.006,0.272,0.439,1023,159.114,binder
34,11,2.773,7.689,3.859,0.295,3.534,0.22,0.389,808,66.207,binder
35,8,4.912,24.123,6.405,0.538,3.98,0.217,0.37,24303,367.95,binder
37,3,1.602,2.567,4.447,0.339,3.927,0.236,0.418,1029,146.349,binder
38,34,5.152,26.547,6.711,0.336,3.869,0.141,0.32,6096,138.207,binder
39,10,4.04,16.321,6.351,0.326,3.929,0.199,0.289,2719,131.423,binder
40,10,2.679,7.175,5.942,0.313,3.754,0.184,0.299,1686,76.881,binder
41,3,2.223,4.941,4.78,0.315,3.927,0.21,0.405,1367,155.678,binder
42,31,3.233,10.454,7.463,0.359,3.774,0.162,0.257,9294,145.404,binder
43,14,3.127,9.778,5.932,0.316,3.663,0.206,0.354,1172,66.104,binder
44,52,1.758,3.089,7.642,0.376,3.941,0.079,0.145,280011,272.596,binder
45,35,1.936,3.747,7.606,0.375,3.889,0.119,0.192,73885,185.819,binder
46,9,1.761,3.102,1.609,0.35,3.909,0.312,0.685,502,154.401,binder
48,14,3.842,14.759,6.157,0.33,3.955,0.182,0.33,2316,121.246,binder
49,6,3.076,9.459,3.056,0.321,3.577,0.276,0.45,625,95.307,binder
50,22,3.906,15.256,6.117,0.32,3.911,0.151,0.195,9413,141.41,binder
51,17,3.182,10.127,4.808,0.356,3.769,0.212,0.5,1348,100.903,binder
52,18,3.798,14.427,5.901,0.319,3.853,0.198,0.343,2296,183.331,binder
53,18,6.166,38.02,5.962,0.328,3.99,0.199,0.359,2296,210.162,binder
54,14,3.667,13.445,6.019,0.328,3.729,0.215,0.364,1393,87.623,binder
55,17,3.921,15.375,3.841,0.282,3.622,0.242,0.474,787,78.104,binder
56,12,2.5,6.25,5.44,0.366,3.81,0.229,0.371,2473,139.751,binder
57,33,2.799,7.834,6.417,0.384,3.804,0.156,0.258,17097,130.311,binder
58,33,3.544,12.562,6.416,0.381,3.807,0.178,0.261,15139,122.207,binder
59,26,4.036,16.288,5.768,0.343,3.8,0.159,0.319,2638,102.207,binder
60,18,1.764,3.112,7.03,0.344,3.807,0.166,0.27,6688,120.622,binder
62,22,2.928,8.575,5.247,0.339,3.849,0.135,0.263,3960,118.415,binder
63,25,3.555,12.639,5.901,0.353,3.756,0.205,0.345,2110,96.207,binder
64,22,3.919,15.355,5.768,0.34,3.743,0.227,0.352,1643,84.104,binder
65,20,2.64,6.967,8.208,0.343,3.762,0.143,0.264,8470,139.174,binder
66,16,3.182,10.127,4.766,0.343,3.766,0.211,0.482,1320,101.567,binder
67,24,5.862,34.369,7.208,0.311,3.887,0.121,0.185,15318,223.083,binder
68,13,3.139,9.855,5.758,0.316,3.853,0.172,0.316,2226,130.106,binder
69,7,2.65,7.022,4.067,0.337,3.595,0.291,0.424,880,110.433,binder
70,22,3.101,9.613,6.76,0.356,3.689,0.184,0.307,3692,106.836,binder
71,19,5.385,29.001,6.673,0.337,3.781,0.149,0.272,4020,160.679,binder
72,11,3.373,11.375,5.091,0.337,3.898,0.157,0.268,3729,170.754,binder
74,3,1.458,2.125,0,0.323,6.838,0.494,0.828,129,173.129,binder
77,25,4.725,22.324,7.67,0.333,4.019,0.153,0.176,20049,178.772,binder
78,0,0.796,0.633,0,0.219,3.546,0.809,0.666,56,67.964,binder
79,22,5.255,27.612,6.411,0.376,6.89,0.176,0.341,3398,379.69,binder
80,0,4.025,16.201,0,0.335,3.872,0.183,0.801,826,206.475,binder
81,12,1.486,2.21,2.079,0.222,3.615,0.232,0.486,643,65.776,binder
82,3,1.737,3.019,1.946,0.246,3.611,0.332,0.586,261,181.586,binder
83,41,5.743,32.986,6.88,0.359,3.85,0.145,0.258,7523,136.104,binder
84,33,2.999,8.996,6.716,0.341,3.906,0.103,0.138,46265,248.45,binder
85,8,3.16,9.988,5.448,0.322,3.634,0.236,0.449,1629,121.462,binder
86,18,4.013,16.106,5.22,0.331,3.876,0.175,0.299,2653,131.588,binder
87,15,4.284,18.353,5.182,0.291,3.984,0.089,0.169,11351,205.469,binder
88,33,4.345,18.88,7.018,0.36,3.967,0.141,0.228,11990,167.831,binder
89,8,2.677,7.164,5.053,0.35,3.782,0.266,0.341,1888,107.691,binder
90,10,3.842,14.759,6.124,0.33,3.981,0.187,0.318,2316,138.869,binder
92,0,1.369,1.874,0,0.354,3.558,0.572,0.699,164,123.337,binder
93,6,1.112,1.236,5.583,0.358,3.846,0.329,0.411,1270,114.102,binder
94,5,1.294,1.674,3.841,0.348,3.406,0.372,0.486,698,78.217,binder
95,15,4.16,17.309,5.987,0.341,4.111,0.18,0.29,3310,214.418,binder
97,13,3.438,11.818,5.039,0.363,3.805,0.2,0.319,2582,135.411,binder
98,11,4.477,20.045,7.01,0.34,4.001,0.149,0.32,8482,235.256,binder
99,15,3.719,13.831,5.048,0.374,3.869,0.204,0.436,1690,147.36,binder
101,22,4.168,17.375,6.343,0.351,3.908,0.172,0.261,5955,143.588,binder
102,8,2.388,5.704,5.633,0.32,3.668,0.224,0.445,1838,132.23,binder
103,12,3.24,10.5,5.834,0.384,3.988,0.228,0.318,3969,146.548,binder
104,12,2.231,4.977,6.22,0.354,3.803,0.195,0.348,4069,153.256,binder
105,37,3.508,12.308,8.115,0.336,3.865,0.096,0.149,51851,219.559,binder
106,13,3.459,11.962,5.455,0.335,3.649,0.186,0.516,2778,150.812,binder
107,22,4.251,18.069,5.724,0.351,3.911,0.166,0.261,5955,143.588,binder
108,30,2.631,6.922,6.94,0.342,3.873,0.125,0.242,7087,164.784,binder
109,15,4.038,16.305,5.68,0.327,3.838,0.184,0.335,2366,139.108,binder
112,26,8.657,74.948,2.944,0.27,3.658,0.128,0.528,2540,143.228,binder
113,16,2.449,5.998,2.485,0.228,3.646,0.183,0.437,1281,81.776,binder
114,33,5.106,26.066,7.44,0.346,10.692,0.111,0.216,18978,465.754,binder
115,22,4.036,16.288,5.901,0.358,3.756,0.201,0.392,2958,162.241,binder
